question_id,question,description,example_answer
1,"Give a name to your dataset:","title for the dataset","EU Case Law"
2,"Give a short description of what your dataset contains:","description of the dataset","Court decision texts and metadata until December 2018 from the Court of Justice of the European Union as published in EURELEX."
3,"First name of the person who created or initiated the creation of this dataset (i.e., the dataset author):","dataset creator first name","Kody"
4,"Last name of the dataset author:","dataset creator last name" ,"Moodley"
5,"Job title of the dataset author:","job title","Postdoctoral researcher"
6,"Email address of the dataset author:","email","name[at]somedomain[dot]com"
7,"Name of the organisation which employs the dataset author (if self-employed or unemployed write 'self-employed' or 'unemployed'):","employing organisation of the dataset creator","Institute of Data Science"
8,"Link (URL) to a website or webpage for the organisation employing the dataset author:","website of the employing organisation of the dataset creator","https://www.maastrichtuniversity.nl/research/institute-data-science"
9,"Link (URL) to an image depicting a logo for the organisation employing the dataset author:","Link to logo for employing organisation of dataset creator","https://avatars.githubusercontent.com/u/36262526?s=280&v=4"
10,"Did any other persons contribute to or co-author the dataset (y/n)?","contributors","y"
11,"How many contributors in total were there?","how many other dataset creators where there?","3"
12,"First name of Contributor #","contributor first name","Pedro"
13,"Last name of Contributor #","contributor last name","Hernandez Serrano"
14,"Job title of Contributor #","job title","Data Scientist"
15,"Email address of Contributor #","contributor email","name[at]somedomain[dot]com"
16,"Name of the organisation which employs Contributor #","name of dataset contributor's employing organisation","Institute of Data Science"
17,"Link (URL) to a website or webpage for the organisation employing Contributor #","website of employing organisation","https://www.maastrichtuniversity.nl/research/institute-data-science"
18,"Link (URL) to an image depicting the logo for the organisation employing Contributor #","link to logo of organisation employing contributor","https://avatars.githubusercontent.com/u/36262526?s=280&v=4"
19,"Is the entity responsible for publishing this dataset a (p)erson or an (o)rganisation (p/o)?","is the publisher is an entity or an organisation?","o"
20,"Is the person responsible for publishing this dataset the same as the person who created the dataset (y/n)?","publisher is the same person as the creator","n"
21,"First name of the person who published this dataset:","first name of publisher","Kody"
22,"Last name of the person who published this dataset:","last name of publisher","Moodley"
23,"Job title of the person who published this dataset:","publisher job title","Assistant Professor"
24,"Email address of the person who published this dataset:","email of publisher","name[at]somedomain[dot]com"
25,"Name of the organisation which employs the dataset publisher (if self-employed or unemployed write 'self-employed' or 'unemployed'):","dataset publisher employing organisation","Institute of Data Science"
26,"Link (URL) to a website or webpage for the organisation employing the dataset publisher:","dataset publisher employing organisation website","https://www.maastrichtuniversity.nl/research/institute-data-science"
27,"Link (URL) to an image depicting a logo for the organisation employing the dataset publisher:","link to logo for organisation","https://avatars.githubusercontent.com/u/36262526?s=280&v=4"
28,"What is the version number for this dataset (e.g. 1.1.1 or v1.2)?","version number of dataset","1.0"
29,"Link (URL) to the full text of the terms of use (license) for this dataset:","link to full dataset license text","https://www.gnu.org/licenses/gpl-3.0.txt"
30,"What file format is the data published in (e.g. CSV, JSON, XML etc.)?","file format of the dataset","CSV"
31,"On what date was the dataset created (CCYY-MM-DD)?","dataset creation date","2021-02-15"
32,"On what date was the dataset published (CCYY-MM-DD)?","dataset publishing date","2021-02-28"
33,"Link (URL) to website or homepage of this dataset:","dataset official website","https://github.com/MaastrichtU-IDS/case-law-analysis"
34,"What language is used in the description of this dataset (use ISO 2 language code e.g. EN for English)?","language of the content, description and / or variable names in this dataset","EN"
35,"How often does a new version get published for this dataset (e.g. daily, weekly, monthly)?","how frequently are new versions published of the dataset?","weekly"
36,"What is the creation or publishing date range for the documents or contents of this dataset - use https://en.wikipedia.org/wiki/ISO_8601#Time_intervals format - e.g. 2007-03-01/2008-05-11:","if the dataset is a collection of news articles - the date range is the date of the earliest article followed by the date of the latest article","1958-05-08/2020-12-31"
37,"Supply a comma-separated list of keywords describing the content in this dataset:","descriptive keywords for dataset content","cases,european,judgements"
38,"Supply a direct download link (URL) for this dataset:","link to direct download of dataset","https://zenodo.org/record/4228652/files/docona_cjeu_results_2018_v2_html.zip?download=1"
39,"How large is the download file size e.g. 128KB, 54MB, 1.5GB?","file size of the dataset download","7.38MB"
40,"What is the download file format e.g. Zip archive, CSV file, JSON file etc:","file format of the dataset download","zip archive"
41,"Was this dataset generated with the aid of or using a piece of software (y/n)?","was data generated with the aid of software?","y"
42,"What is the name of the software that assisted in the creation of this data?","name of software","Docona"
43,"What is the version number e.g. v1.1.1 of the software used?","version of software","1.0"
44,"Provide a link (URL) to download the software:","software website","https://github.com/MaastrichtU-IDS/docona"
45,"Provide a short description of the software:","software description","pipeline to measure and compare text similarity measures on a corpus"
46,"Indicate type of software e.g. Python script or Java GUI application:","type of software application","Python script"
47,"Operating system (OS) required to execute the software e.g. Mac, Linux, Windows or cross-platform (any OS):","required operating system for software","cross-platform"
48,"Is there an academic publication which describes or centrally makes use of this dataset (y/n)?","is there a publication associated with the dataset","y"
49,"What is the title of the publication?","publication title","Similarity and Relevance of Court Decisions: A Computational Study on CJEU Cases"
50,"Supply a comma-separated list of author names for this publication:","publication authors","Kody Moodley, Pedro Hernandez Serrano, Gijs van Dijck, Michel Dumontier"
51,"What is the name of the publishing authority for this resource?","name of article publisher","IOS Press"
52,"Provide a link (URL) to the website of the publisher:","website of the article publisher","http://ebooks.iospress.nl/"
53,"On what date was this resource published (CCYY-MM-DD)?","article publication date","2018-12-10"
54,"Provide a Digital Object Identifier (DOI) for this publication:","digital object identifier (DOI)","https://doi.org/10.3233/FAIA190307"
55,"Name of the organisation which published this dataset:","name of dataset publishing organisation","Institute of Data Science"
56,"Link (URL) to the website for the organisation which published this dataset:","website of dataset publisher","https://www.maastrichtuniversity.nl/research/institute-data-science"
57,"Link (URL) to an image depicting a logo for the organisation which published this dataset:","dataset publisher logo","https://avatars.githubusercontent.com/u/36262526?s=280&v=4"
